Query;Time;Scale Factor;Approach;Shape;Type;LDBC_QNum;Considered
4;774;0.3;Non Schema;Cyclic;GPM;SN7;Y
5;458;0.3;Non Schema;Cyclic;GPM;SN8;Y
6;0;0.3;Non Schema;Acyclic;GPM;SN9;N
7;1260;0.3;Non Schema;Acyclic;GPM;SN11;Y
8;24031;0.3;Non Schema;Acyclic;GN;SN12;N
9;29623;0.3;Non Schema;Cyclic;GN;SN13;N
10;753;0.3;Non Schema;Cyclic;GN;SN14;Y
11;39296;0.3;Non Schema;Acyclic;GN;SN15;N
12;1800000;0.3;Non Schema;Acyclic;GN;SN16;N
13;14551;0.3;Non Schema;Acyclic;GN;SN17;Y
14;9096;0.3;Non Schema;Acyclic;GN;SN18;Y
15;60402;0.3;Non Schema;Acyclic;GN;SN21;N
16;13954;0.3;Non Schema;Acyclic;GN;SN23;Y
17;807;0.3;Non Schema;Acyclic;GN;SN25;Y
18;430;0.3;Non Schema;Acyclic;GN;SN26;Y
19;2849;0.3;Non Schema;Cyclic;GN;SN28;Y
20;2383;0.3;Non Schema;Acyclic;GN;SN31;Y
21;936;0.3;Non Schema;Cyclic;GPM;SN32;Y
22;182;0.3;Non Schema;Cyclic;GPM;BI1;Y
23;1800000;0.3;Non Schema;Acyclic;GN;BI2;N
24;3114;0.3;Non Schema;Acyclic;GN;BI3;Y
25;2740;0.3;Non Schema;Acyclic;GN;BI5;Y
26;51;0.3;Non Schema;Cyclic;GN;BI6;Y
27;1688;0.3;Non Schema;Acyclic;GN;LSQB1;N
28;812;0.3;Non Schema;Acyclic;GPM;LSQB2;Y
29;1763;0.3;Non Schema;Cyclic;GPM;LSQB3;Y
30;10161;0.3;Non Schema;Acyclic;GPM;LSQB4;N
1;257358;1;Schema;Acyclic;GPM;SN1;N
2;0;1;Schema;Acyclic;GPM;SN2;N
3;0;1;Schema;Acyclic;GPM;SN6;N
4;15904;1;Schema;Cyclic;GPM;SN7;Y
5;4142;1;Schema;Cyclic;GPM;SN8;Y
6;0;1;Schema;Acyclic;GPM;SN9;N
7;9970;1;Schema;Acyclic;GPM;SN11;Y
8;81327;1;Schema;Acyclic;GN;SN12;N
9;0;1;Schema;Cyclic;GN;SN13;N
10;6992;1;Schema;Cyclic;GN;SN14;Y
11;547935;1;Schema;Acyclic;GN;SN15;N
12;0;1;Schema;Acyclic;GN;SN16;N
13;18019;1;Schema;Acyclic;GN;SN17;Y
14;4878;1;Schema;Acyclic;GN;SN18;Y
15;319759;1;Schema;Acyclic;GN;SN21;N
16;15056;1;Schema;Acyclic;GN;SN23;Y
17;2386;1;Schema;Acyclic;GN;SN25;Y
18;1830;1;Schema;Acyclic;GN;SN26;Y
19;16228;1;Schema;Cyclic;GN;SN28;Y
20;4762;1;Schema;Acyclic;GN;SN31;Y
21;16585;1;Schema;Cyclic;GPM;SN32;Y
22;1609;1;Schema;Cyclic;GPM;BI1;Y
23;0;1;Schema;Acyclic;GN;BI2;N
24;1689;1;Schema;Acyclic;GN;BI3;Y
25;14569;1;Schema;Acyclic;GN;BI5;Y
26;688;1;Schema;Cyclic;GN;BI6;Y
27;10444;1;Schema;Acyclic;GN;LSQB1;N
28;4133;1;Schema;Acyclic;GPM;LSQB2;Y
29;5382;1;Schema;Cyclic;GPM;LSQB3;Y
30;63707;1;Schema;Acyclic;GPM;LSQB4;N
1;287983;1;Non Schema;Acyclic;GPM;SN1;N
2;0;1;Non Schema;Acyclic;GPM;SN2;N
3;0;1;Non Schema;Acyclic;GPM;SN6;N
4;4499;1;Non Schema;Cyclic;GPM;SN7;Y
5;2102;1;Non Schema;Cyclic;GPM;SN8;Y
6;0;1;Non Schema;Acyclic;GPM;SN9;N
7;11172;1;Non Schema;Acyclic;GPM;SN11;Y
8;156244;1;Non Schema;Acyclic;GN;SN12;N
9;0;1;Non Schema;Cyclic;GN;SN13;N
10;3783;1;Non Schema;Cyclic;GN;SN14;Y
11;593418;1;Non Schema;Acyclic;GN;SN15;N
12;0;1;Non Schema;Acyclic;GN;SN16;N
13;51043;1;Non Schema;Acyclic;GN;SN17;Y
14;36750;1;Non Schema;Acyclic;GN;SN18;Y
15;320912;1;Non Schema;Acyclic;GN;SN21;N
16;58038;1;Non Schema;Acyclic;GN;SN23;Y
17;2746;1;Non Schema;Acyclic;GN;SN25;Y
18;1756;1;Non Schema;Acyclic;GN;SN26;Y
19;13174;1;Non Schema;Cyclic;GN;SN28;Y
20;10545;1;Non Schema;Acyclic;GN;SN31;Y
21;4859;1;Non Schema;Cyclic;GPM;SN32;Y
22;1104;1;Non Schema;Cyclic;GPM;BI1;Y
23;0;1;Non Schema;Acyclic;GN;BI2;N
24;14084;1;Non Schema;Acyclic;GN;BI3;Y
25;12825;1;Non Schema;Acyclic;GN;BI5;Y
26;561;1;Non Schema;Cyclic;GN;BI6;Y
27;1800000;1;Non Schema;Acyclic;GN;LSQB1;N
28;5707;1;Non Schema;Acyclic;GPM;LSQB2;Y
29;6437;1;Non Schema;Cyclic;GPM;LSQB3;Y
30;66785;1;Non Schema;Acyclic;GPM;LSQB4;N
1;0;3;Schema;Acyclic;GPM;SN1;N
2;0;3;Schema;Acyclic;GPM;SN2;N
3;0;3;Schema;Acyclic;GPM;SN6;N
4;84386;3;Schema;Cyclic;GPM;SN7;Y
5;12796;3;Schema;Cyclic;GPM;SN8;Y
6;0;3;Schema;Acyclic;GPM;SN9;N
7;45512;3;Schema;Acyclic;GPM;SN11;Y
8;487622;3;Schema;Acyclic;GN;SN12;N
9;0;3;Schema;Cyclic;GN;SN13;N
10;29819;3;Schema;Cyclic;GN;SN14;Y
11;0;3;Schema;Acyclic;GN;SN15;N
12;0;3;Schema;Acyclic;GN;SN16;N
13;57756;3;Schema;Acyclic;GN;SN17;Y
14;15238;3;Schema;Acyclic;GN;SN18;Y
15;0;3;Schema;Acyclic;GN;SN21;N
16;48814;3;Schema;Acyclic;GN;SN23;Y
17;5522;3;Schema;Acyclic;GN;SN25;Y
18;3500;3;Schema;Acyclic;GN;SN26;Y
19;50130;3;Schema;Cyclic;GN;SN28;Y
20;16044;3;Schema;Acyclic;GN;SN31;Y
21;58012;3;Schema;Cyclic;GPM;SN32;Y
22;5274;3;Schema;Cyclic;GPM;BI1;Y
23;0;3;Schema;Acyclic;GN;BI2;N
24;5772;3;Schema;Acyclic;GN;BI3;Y
25;49063;3;Schema;Acyclic;GN;BI5;Y
26;5294;3;Schema;Cyclic;GN;BI6;Y
27;51082;3;Schema;Acyclic;GN;LSQB1;N
28;16361;3;Schema;Acyclic;GPM;LSQB2;Y
29;15943;3;Schema;Cyclic;GPM;LSQB3;Y
30;0;3;Schema;Acyclic;GPM;LSQB4;N
1;0;3;Non Schema;Acyclic;GPM;SN1;N
2;0;3;Non Schema;Acyclic;GPM;SN2;N
3;0;3;Non Schema;Acyclic;GPM;SN6;N
4;21541;3;Non Schema;Cyclic;GPM;SN7;Y
5;6817;3;Non Schema;Cyclic;GPM;SN8;Y
6;0;3;Non Schema;Acyclic;GPM;SN9;N
7;51676;3;Non Schema;Acyclic;GPM;SN11;Y
8;1800000;3;Non Schema;Acyclic;GN;SN12;N
9;0;3;Non Schema;Cyclic;GN;SN13;N
10;15203;3;Non Schema;Cyclic;GN;SN14;Y
11;0;3;Non Schema;Acyclic;GN;SN15;N
12;0;3;Non Schema;Acyclic;GN;SN16;N
13;152772;3;Non Schema;Acyclic;GN;SN17;Y
14;112122;3;Non Schema;Acyclic;GN;SN18;Y
15;0;3;Non Schema;Acyclic;GN;SN21;N
16;176715;3;Non Schema;Acyclic;GN;SN23;Y
17;5832;3;Non Schema;Acyclic;GN;SN25;Y
18;4649;3;Non Schema;Acyclic;GN;SN26;Y
19;42126;3;Non Schema;Cyclic;GN;SN28;Y
20;36511;3;Non Schema;Acyclic;GN;SN31;Y
21;11961;3;Non Schema;Cyclic;GPM;SN32;Y
22;5646;3;Non Schema;Cyclic;GPM;BI1;Y
23;0;3;Non Schema;Acyclic;GN;BI2;N
24;47579;3;Non Schema;Acyclic;GN;BI3;Y
25;41550;3;Non Schema;Acyclic;GN;BI5;Y
26;3036;3;Non Schema;Cyclic;GN;BI6;Y
27;1800000;3;Non Schema;Acyclic;GN;LSQB1;N
28;23408;3;Non Schema;Acyclic;GPM;LSQB2;Y
29;21299;3;Non Schema;Cyclic;GPM;LSQB3;Y
30;0;3;Non Schema;Acyclic;GPM;LSQB4;N
