Q1;((([NRPerson]ERisMarriedTo)[NRPerson])/((ERlivesIn[NRCity])/((((ERisLocatedIn[NRRegion])/ERisLocatedIn)[NRCountry])/((ERdealsWith[NRCountry])+))))
Q2;((([NRPerson]ERhasChild)[NRPerson])/((ERlivesIn[NRCity])/((((ERisLocatedIn[NRRegion])/ERisLocatedIn)[NRCountry])/((ERdealsWith[NRCountry])+))))
Q3;((([NRPerson]ERinfluences)[NRPerson])/((ERlivesIn[NRCity])/((((ERisLocatedIn[NRRegion])/ERisLocatedIn)[NRCountry])/((ERdealsWith[NRCountry])+))))
Q4;((([NRPerson]ERlivesIn)[NRCity])/((((ERisLocatedIn[NRRegion])/ERisLocatedIn)[NRCountry])/((ERdealsWith[NRCountry])+)))
Q5;((([NRPerson]ERhasAcademicAdvisor)[NRPerson])/((ERlivesIn[NRCity])/((((ERisLocatedIn[NRRegion])/ERisLocatedIn)[NRCountry])/((ERdealsWith[NRCountry])+))))
Q6;((((([NRCity]ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/((ERdealsWith[NRCountry])+))|((((((([NRProperty]ERisLocatedIn)[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/((ERdealsWith[NRCountry])+))|((([NRRegion]ERisLocatedIn)[NRCountry])/((ERdealsWith[NRCountry])+))
Q7;(((([NRPerson]ERactedIn)[NRMovie])/(-ERactedIn[NRPerson]))+)
Q8;((((((([NRCity]ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/ERdealsWith)[NRCountry])|([NRCountry](ERdealsWith[NRCountry])))|((((((((([NRProperty]ERisLocatedIn)[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/ERdealsWith)[NRCountry])|([NRCountry](ERdealsWith[NRCountry])))|((((([NRRegion]ERisLocatedIn)[NRCountry])/ERdealsWith)[NRCountry])|([NRCountry](ERdealsWith[NRCountry])))
Q9;(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/((ERisLocatedIn[NRCity])/ERisLocatedIn)))[NRRegion])|([NRPerson]((ERowns[NRProperty])/(ERisLocatedIn[NRCity]))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/((((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/ERisLocatedIn)))[NRContinent])|([NRPerson]((ERowns[NRProperty])/(ERisLocatedIn[NRCity]))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/ERisLocatedIn))[NRCity])|([NRPerson]((ERowns[NRProperty])/(ERisLocatedIn[NRCity]))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/ERisLocatedIn))[NRCity])|([NRPerson]((ERowns[NRProperty])/((ERisLocatedIn[NRCity])/(ERisLocatedIn[NRRegion])))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/((ERisLocatedIn[NRCity])/ERisLocatedIn)))[NRRegion])|([NRPerson]((ERowns[NRProperty])/((ERisLocatedIn[NRCity])/(ERisLocatedIn[NRRegion])))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/((((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/ERisLocatedIn)))[NRContinent])|([NRPerson]((ERowns[NRProperty])/((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/(ERisLocatedIn[NRCountry])))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/((((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/ERisLocatedIn)))[NRContinent])|([NRPerson]((ERowns[NRProperty])/((((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/(ERisLocatedIn[NRContinent])))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)))[NRCountry])|([NRPerson]((ERowns[NRProperty])/((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/(ERisLocatedIn[NRCountry])))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/ERisLocatedIn))[NRCity])|([NRPerson]((ERowns[NRProperty])/((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/(ERisLocatedIn[NRCountry])))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)))[NRCountry])|([NRPerson]((ERowns[NRProperty])/(ERisLocatedIn[NRCity]))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)))[NRCountry])|([NRPerson]((ERowns[NRProperty])/((ERisLocatedIn[NRCity])/(ERisLocatedIn[NRRegion])))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/((ERisLocatedIn[NRCity])/ERisLocatedIn)))[NRRegion])|([NRPerson]((ERowns[NRProperty])/((((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/(ERisLocatedIn[NRContinent])))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/((((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/ERisLocatedIn)))[NRContinent])|([NRPerson]((ERowns[NRProperty])/((ERisLocatedIn[NRCity])/(ERisLocatedIn[NRRegion])))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/((ERisLocatedIn[NRCity])/ERisLocatedIn)))[NRRegion])|([NRPerson]((ERowns[NRProperty])/((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/(ERisLocatedIn[NRCountry])))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)))[NRCountry])|([NRPerson]((ERowns[NRProperty])/((((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/(ERisLocatedIn[NRContinent])))))|(((((([NRPerson]ERisMarriedTo)+)[NRPerson])/((ERowns[NRProperty])/ERisLocatedIn))[NRCity])|([NRPerson]((ERowns[NRProperty])/((((((ERisLocatedIn[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/(ERisLocatedIn[NRContinent])))))
Q10;((((([NRCity]ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/(ERdealsWith[NRCountry]))|((((((([NRProperty]ERisLocatedIn)[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/(ERdealsWith[NRCountry]))|((([NRRegion]ERisLocatedIn)[NRCountry])/(ERdealsWith[NRCountry]))
Q11;((((([NRCity]ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/((ERdealsWith[NRCountry])+))|((((((([NRProperty]ERisLocatedIn)[NRCity])/ERisLocatedIn)[NRRegion])/ERisLocatedIn)[NRCountry])/((ERdealsWith[NRCountry])+))|((([NRRegion]ERisLocatedIn)[NRCountry])/((ERdealsWith[NRCountry])+))
Q12;((([NRPerson]ERwasBornIn)[NRCity])/((((ERisLocatedIn[NRRegion])/ERisLocatedIn)[NRCountry])/((ERisConnectedTo[NRCountry])+)))|((([NRPerson]ERwasBornIn)[NRCity])/((ERisLocatedIn[NRRegion])/((ERisConnectedTo[NRRegion])+)))|((([NRPerson]ERwasBornIn)[NRCity])/((ERisLocatedIn[NRRegion])/(ERisConnectedTo[NRCountry])))|((([NRPerson]ERwasBornIn)[NRCity])/((ERisLocatedIn[NRRegion])/((ERisConnectedTo[NRCountry])+)))
Q13;((([NRPerson]ERwasBornIn)[NRCity])/(((ERisLocatedIn[NRRegion])|([NRRegion](ERisConnectedTo[NRCountry])))+))|((([NRPerson]ERwasBornIn)[NRCity])/(((ERisLocatedIn[NRRegion])|([NRCountry](ERisConnectedTo[NRCountry])))+))|((([NRPerson]ERwasBornIn)[NRCity])/(((ERisLocatedIn[NRRegion])|([NRRegion](ERisConnectedTo[NRRegion])))+))|((([NRPerson]ERwasBornIn)[NRCity])/(((ERisLocatedIn[NRRegion])|([NRCity](ERisConnectedTo[NRCity])))+))
Q14;((([NRPerson]ERwasBornIn)[NRCity])/((ERisLocatedIn[NRRegion])/(ERisLocatedIn[NRCountry])))|((([NRPerson]ERwasBornIn)[NRCity])/((((ERisLocatedIn[NRRegion])/ERisLocatedIn)[NRCountry])/(ERisLocatedIn[NRContinent])))|((([NRPerson]ERwasBornIn)[NRCity])/(ERisLocatedIn[NRRegion]))
