Query;Run1;Run2;Run3;Run4;Scale Factor;Approach;Shape;Type;Considered
28;65.0 ;95.0  ;92.0  ;75.0  ;0.1;Non Schema;Acyclic;GPM;N
29;517.0 ;651.0   ;592.0   ;613.0 ;0.1;Non Schema;Cyclic;GPM;N
30;4322.0;2888.0;2594.0;2551.0;0.1;Non Schema;Acyclic;GPM;N
1;17838.0   ;16747.0  ;16613.0  ;17092.0   ;0.3;Schema;Acyclic;GPM;N
2;0.0   ;0.0   ;0.0   ;0.0 ;0.3;Schema;Acyclic;GPM;N
3;0.0    ;0.0     ;0.0     ;0.0    ;0.3;Schema;Acyclic;GPM;N
4;1038.0 ;809.0 ;766.0 ;760.0 ;0.3;Schema;Cyclic;GPM;N
5;735.0  ;686.0    ;518.0    ;680.0    ;0.3;Schema;Cyclic;GPM;N
6;0.0     ;0.0    ;0.0    ;0.0   ;0.3;Schema;Acyclic;GPM;N
7;1253.0 ;1285.0 ;1265.0 ;1302.0  ;0.3;Schema;Acyclic;GPM;Y
8;23995.0 ;24040.0 ;24637.0 ;23993.0  ;0.3;Schema;Acyclic;GN;Y
9;31182.0 ;12664.0  ;12531.0  ;27701.0  ;0.3;Schema;Cyclic;GN;N
10;43296.0 ;15848.0  ;16175.0  ;44485.0 ;0.3;Schema;Cyclic;GN;N
11;29078.0   ;8129.0   ;8540.0   ;25927.0 ;0.3;Schema;Acyclic;GN;N
12;0.0    ;0.0    ;0.0    ;0.0;0.3;Schema;Acyclic;GN;N
13;5216.0 ;4063.0 ;3182.0 ;5743.0 ;0.3;Schema;Acyclic;GN;Y
14;1033.0 ;1888.0 ;1291.0 ;1490.0 ;0.3;Schema;Acyclic;GN;Y
15;54113.0  ;71456.0 ;58323.0 ;62555.0 ;0.3;Schema;Acyclic;GN;N
16;3673.0  ;3279.0   ;2967.0   ;3605.0  ;0.3;Schema;Acyclic;GN;Y
17;830.0 ;857.0 ;789.0 ;771.0 ;0.3;Schema;Acyclic;GN;Y
18;463.0 ;502.0 ;470.0 ;431.0 ;0.3;Schema;Acyclic;GN;N
19;2944.0  ;2600.0  ;2353.0   ;2929.0  ;0.3;Schema;Cyclic;GN;N
20;797.0 ;1031.0 ;935.0 ;772.0 ;0.3;Schema;Acyclic;GN;Y
21;1046.0 ;1539.0 ;1140.0 ;1027.0 ;0.3;Schema;Cyclic;GPM;N
22;154.0 ;195.0  ;154.0  ;229.0  ;0.3;Schema;Cyclic;GPM;N
23;0.0   ;0.0   ;0.0   ;0.0   ;0.3;Schema;Acyclic;GN;N
24;429.0 ;589.0 ;381.0 ;374.0 ;0.3;Schema;Acyclic;GN;Y
25;2785.0  ;2522.0  ;2093.0  ;3302.0   ;0.3;Schema;Acyclic;GN;Y
26;35.0  ;36.0  ;29.0 ;43.0  ;0.3;Schema;Cyclic;GN;N
27;3368.0 ;3257.0 ;2048.0  ;1887.0 ;0.3;Schema;Acyclic;GN;Y
28;432.0 ;876.0 ;401.0 ;565.0 ;0.3;Schema;Acyclic;GPM;N
29;2147.0 ;2619.0 ;2275.0 ;2136.0 ;0.3;Schema;Cyclic;GPM;N
30;13731.0;13172.0;10735.0;11380.0;0.3;Schema;Acyclic;GPM;N
1;17902.0   ;18214.0   ;18387.0   ;18037.0   ;0.3;Non Schema;Acyclic;GPM;N
2;0.0   ;0.0   ;0.0   ;0.0   ;0.3;Non Schema;Acyclic;GPM;N
3;0.0    ;0.0     ;0.0     ;0.0    ;0.3;Non Schema;Acyclic;GPM;N
4;1038.0 ;809.0 ;766.0 ;760.0 ;0.3;Non Schema;Cyclic;GPM;N
5;429.0  ;446.0    ;425.0    ;449.0    ;0.3;Non Schema;Cyclic;GPM;N
6;0.0     ;0.0    ;0.0    ;0.0   ;0.3;Non Schema;Acyclic;GPM;N
7;1257.0 ;1284.0 ;1250.0 ;1265.0  ;0.3;Non Schema;Acyclic;GPM;Y
8;24099.0 ;24662.0 ;24477.0 ;24194.0  ;0.3;Non Schema;Acyclic;GN;Y
9;31182.0 ;12664.0  ;12531.0  ;27701.0  ;0.3;Non Schema;Cyclic;GN;N
10;42094.0 ;15468.0 ;15364.0 ;42155.0 ;0.3;Non Schema;Cyclic;GN;N
11;36006.0   ;17600.0   ;17267.0   ;35578.0 ;0.3;Non Schema;Acyclic;GN;N
12;0.0    ;0.0    ;0.0    ;0.0 ;0.3;Non Schema;Acyclic;GN;N
13;9740.0 ;6692.0 ;6674.0 ;9662.0 ;0.3;Non Schema;Acyclic;GN;Y
14;8652.0 ;6730.0 ;6680.0 ;8763.0 ;0.3;Non Schema;Acyclic;GN;Y
15;60267.0 ;60902.0 ;66505.0 ;64257.0 ;0.3;Non Schema;Acyclic;GN;N
16;16828.0  ;7986.0   ;7959.0   ;15691.0 ;0.3;Non Schema;Acyclic;GN;Y
17;830.0 ;824.0 ;793.0 ;892.0 ;0.3;Non Schema;Acyclic;GN;Y
18;934.0 ;451.0 ;469.0 ;452.0 ;0.3;Non Schema;Acyclic;GN;N
19;7298.0 ;2279.0  ;2385.0  ;3289.0 ;0.3;Non Schema;Cyclic;GN;N
20;4738.0 ;1715.0 ;1762.0  ;2765.0 ;0.3;Non Schema;Acyclic;GN;Y
21;2691.0 ;1010.0 ;923.0 ;1204.0 ;0.3;Non Schema;Cyclic;GPM;N
22;154.0  ;195.0  ;154.0  ;229.0  ;0.3;Non Schema;Cyclic;GPM;N
23;0.0  ;0.0  ;0.0  ;0.0  ;0.3;Non Schema;Acyclic;GN;N
24;9389.0 ;2135.0 ;1935.0 ;4109.0 ;0.3;Non Schema;Acyclic;GN;Y
25;2785.0  ;2522.0  ;2093.0  ;3302.0   ;0.3;Non Schema;Acyclic;GN;Y
26;35.0 ;36.0 ;29.0 ;43.0 ;0.3;Non Schema;Cyclic;GN;N
27;26225.0 ;15694.0 ;12101.0 ;16559.0 ;0.3;Non Schema;Acyclic;GN;Y
28;459.0 ;390.0 ;297.0 ;376.0 ;0.3;Non Schema;Acyclic;GPM;N
29;2764.0 ;2484.0 ;1817.0 ;2306.0 ;0.3;Non Schema;Cyclic;GPM;N
30;13731.0;18421.0;12858.0;14398.0;0.3;Non Schema;Acyclic;GPM;N
1;210314.0  ;198853.0  ;176489.0  ;179551.0;1;Schema;Acyclic;GPM;N
