Query;Run1;Run2;Run3;Run4;Scale Factor;Approach;Shape;Type;Considered
10;0.0      ;0.0      ;0.0      ;0.0      ;10;Non Schema;Cyclic;GN;N
11;0.0     ;0.0     ;0.0     ;0.0    ;10;Non Schema;Acyclic;GN;N
12;0.0     ;0.0    ;0.0    ;0.0   ;10;Non Schema;Acyclic;GN;N
13;554242.0 ;587409.0 ;647988.0 ;587409.0 ;10;Non Schema;Acyclic;GN;Y
14;511149.0  ;522687.0  ;430618.0  ;522687.0   ;10;Non Schema;Acyclic;GN;Y
15;0.0   ;0.0   ;0.0   ;0.0  ;10;Non Schema;Acyclic;GN;N
16;1800000.0  ;1800000.0  ;1800000.0  ;1800000.0   ;10;Non Schema;Acyclic;GN;Y
17;18484.0 ;21505.0 ;15047.0 ;21505.0 ;10;Non Schema;Acyclic;GN;Y
18;15245.0 ;16498.0 ;11634.0 ;16498.0 ;10;Non Schema;Acyclic;GN;N
19;172564.0 ;200239.0 ;142670.0 ;200239.0 ;10;Non Schema;Cyclic;GN;N
20;162058.0 ;182628.0  ;150203.0 ;182628.0 ;10;Non Schema;Acyclic;GN;Y
21;80052.0 ;70225.0 ;75789.0 ;102235.0 ;10;Non Schema;Cyclic;GPM;N
22;38166.0   ;38159.0   ;33921.0    ; 35841.0  ;10;Non Schema;Cyclic;GPM;N
23;0.0   ;0.0  ;0.0  ;0.0 ;10;Non Schema;Acyclic;GN;N
24;189000.0 ;220073.0 ;171300.0 ;220073.0 ;10;Non Schema;Acyclic;GN;Y
25;200521.0 ;227932.0 ;158617.0  ;194719.0  ;10;Non Schema;Acyclic;GN;Y
26;9908.0   ;10172.0   ;8676.0   ; 9340.0    ;10;Non Schema;Cyclic;GN;N
27;0.0     ;0.0    ;0.0    ;0.0  ;10;Non Schema;Acyclic;GN;Y
28;138061.0 ;162097.0 ;132189.0 ;162097.0 ;10;Non Schema;Acyclic;GPM;N
29;102550.0  ;130771.0  ;85095.0   ;130771.0   ;10;Non Schema;Cyclic;GPM;N
30;0.0;0.0;0.0;0.0;10;Non Schema;Acyclic;GPM;N
1;0.0    ;0.0    ;0.0    ;0.0    ;30;Schema;Acyclic;GPM;N
2;0.0   ;0.0   ;0.0   ;0.0   ;30;Schema;Acyclic;GPM;N
3;0.0  ;0.0 ;0.0 ;0.0 ;30;Schema;Acyclic;GPM;N
4;0.0   ;0.0 ;0.0 ;0.0 ;30;Schema;Cyclic;GPM;N
5;221550.0    ;188940.0    ;138204.0    ;155169.0    ;30;Schema;Cyclic;GPM;N
6;0.0    ;0.0    ;0.0    ;0.0    ;30;Schema;Acyclic;GPM;N
7;0.0     ;0.0     ;0.0     ;0.0     ;30;Schema;Acyclic;GPM;Y
8;0.0  ;0.0  ;0.0   ;0.0   ;30;Schema;Acyclic;GN;Y
9;0.0    ;0.0    ;0.0    ;0.0    ;30;Schema;Cyclic;GN;N
10;0.0      ;0.0     ;0.0     ;0.0     ;30;Schema;Cyclic;GN;N
11;0.0      ;0.0    ;0.0    ;0.0    ;30;Schema;Acyclic;GN;N
12;0.0   ;0.0   ;0.0   ;0.0    ;30;Schema;Acyclic;GN;N
13;0.0    ;0.0    ;0.0    ;0.0    ;30;Schema;Acyclic;GN;Y
14;122497.0    ;106665.0   ;109006.0   ;144740.0   ;30;Schema;Acyclic;GN;Y
15;0.0     ;0.0     ;0.0     ;0.0     ;30;Schema;Acyclic;GN;N
16;0.0   ;0.0     ;0.0     ;0.0     ;30;Schema;Acyclic;GN;Y
17;40260.0 ;39475.0 ;30779.0 ;37581.0 ;30;Schema;Acyclic;GN;Y
18;42140.0 ;35952.0 ;26723.0 ;39287.0 ;30;Schema;Acyclic;GN;N
19;649375.0 ;648847.0  ;563921.0  ;569085.0  ;30;Schema;Cyclic;GN;N
20;133673.0 ;152956.0 ;136705.0 ;120568.0  ;30;Schema;Acyclic;GN;Y
21;265076.0 ;297378.0  ;265233.0 ;176707.0 ;30;Schema;Cyclic;GPM;N
22;122280.0  ;95117.0  ;112970.0  ;107475.0  ;30;Schema;Cyclic;GPM;N
23;0.0   ;0.0   ;0.0   ;0.0  ;30;Schema;Acyclic;GN;N
24;101566.0   ;120919.0 ;113930.0 ;102053.0 ;30;Schema;Acyclic;GN;Y
25;0.0   ;0.0    ;0.0    ;0.0    ;30;Schema;Acyclic;GN;Y
26;80033.0    ;82193.0    ;79913.0    ;70529.0   ;30;Schema;Cyclic;GN;N
27;0.0       ;0.0     ;0.0     ;0.0     ;30;Schema;Acyclic;GN;Y
28;0.0    ;0.0   ;0.0   ;0.0   ;30;Schema;Acyclic;GPM;N
29;278378.0  ;371693.0   ;360441.0   ;326999.0   ;30;Schema;Cyclic;GPM;N
30;0.0;0.0;0.0;0.0;30;Schema;Acyclic;GPM;N
1;0.0    ;0.0    ;0.0    ;0.0    ;30;Non Schema;Acyclic;GPM;N
2;0.0   ;0.0   ;0.0   ;0.0   ;30;Non Schema;Acyclic;GPM;N
3;0.0  ;0.0 ;0.0  ;0.0 ;30;Non Schema;Acyclic;GPM;N
4;0.0   ;0.0 ;0.0 ;0.0 ;30;Non Schema;Cyclic;GPM;N
5;116055.0    ;118890.0    ;107955.0    ;110788.0    ;30;Non Schema;Cyclic;GPM;N
6;0.0    ;0.0    ;0.0    ;0.0    ;30;Non Schema;Acyclic;GPM;N
7;0.0     ;0.0     ;0.0     ;0.0     ;30;Non Schema;Acyclic;GPM;Y
8;0.0   ;0.0   ;0.0   ;0.0   ;30;Non Schema;Acyclic;GN;Y
9;0.0    ;0.0    ;0.0    ;0.0    ;30;Non Schema;Cyclic;GN;N
10;0.0      ;0.0     ;0.0     ;0.0     ;30;Non Schema;Cyclic;GN;N
11;0.0      ;0.0    ;0.0    ;0.0    ;30;Non Schema;Acyclic;GN;N
12;0.0   ;0.0  ;0.0   ;0.0   ;30;Non Schema;Acyclic;GN;N
13;0.0   ;0.0   ;0.0   ;0.0   ;30;Non Schema;Acyclic;GN;Y
14;1800000.0    ;1800000.0   ;1800000.0   ;1800000.0   ;30;Non Schema;Acyclic;GN;Y
15;0.0     ;0.0     ;0.0     ;0.0     ;30;Non Schema;Acyclic;GN;N
16;0.0   ;0.0     ;0.0     ;0.0     ;30;Non Schema;Acyclic;GN;Y
17;40260.0  ;63394.0 ;34720.0 ;39030.0 ;30;Non Schema;Acyclic;GN;Y
18;46965.0 ;59813.0 ;61455.0 ;41596.0 ;30;Non Schema;Acyclic;GN;N
19;736761.0 ;656281.0 ;663405.0 ;597014.0 ;30;Non Schema;Cyclic;GN;N
20;1800000.0  ;1800000.0 ;1800000.0 ;1800000.0  ;30;Non Schema;Acyclic;GN;Y
21;356246.0 ;218064.0  ;291797.0 ;227205.0 ;30;Non Schema;Cyclic;GPM;N
22;122280.0  ;95117.0  ;112970.0  ;107475.0 ;30;Non Schema;Cyclic;GPM;N
23;0.0    ;0.0    ;0.0    ;0.0   ;30;Non Schema;Acyclic;GN;N
24;760930.0   ;529564.0 ;598055.0 ;602831.0 ;30;Non Schema;Acyclic;GN;Y
25;0.0   ;0.0    ;0.0    ;0.0    ;30;Non Schema;Acyclic;GN;Y
26;80033.0    ;82193.0    ;79913.0    ;70529.0   ;30;Non Schema;Cyclic;GN;N
27;0.0       ;0.0     ;0.0     ;0.0     ;30;Non Schema;Acyclic;GN;Y
28;0.0    ;0.0   ;0.0   ;0.0   ;30;Non Schema;Acyclic;GPM;N
29;368646.0  ;369556.0   ;346241.0   ;366866.0   ;30;Non Schema;Cyclic;GPM;N
30;0.0;0.0;0.0;0.0;30;Non Schema;Acyclic;GPM;N
