Query	Time	Approach	Scale	UApproach
20	5.408068	Schema	0.1	SysNS
24	3.2360680000000004	Schema	0.1	SysNS
25	9.273855	Schema	0.1	SysNS
27	160.895719	Schema	0.1	SysNS
7	7.912908000000001	Schema	0.3	SysNS
8	0.0	Schema	0.3	SysNS
13	21.142185	Schema	0.3	SysNS
14	14.393316	Schema	0.3	SysNS
16	35.083507	Schema	0.3	SysNS
17	79.809756	Schema	0.3	SysNS
20	19.809814	Schema	0.3	SysNS
24	12.396977000000001	Schema	0.3	SysNS
25	34.0192215	Schema	0.3	SysNS
27	1169.8479029999999	Schema	0.3	SysNS
7	32.038796	Schema	1.0	SysNS
8	0.0	Schema	1.0	SysNS
13	100.51704099999999	Schema	1.0	SysNS
14	51.025303	Schema	1.0	SysNS
16	144.50968400000002	Schema	1.0	SysNS
17	255.847096	Schema	1.0	SysNS
20	76.85009299999999	Schema	1.0	SysNS
24	46.475687	Schema	1.0	SysNS
25	140.39023600000002	Schema	1.0	SysNS
27	0.0	Schema	1.0	SysNS
7	96.517892	Schema	3.0	SysNS
8	0.0	Schema	3.0	SysNS
13	353.655718	Schema	3.0	SysNS
14	153.035242	Schema	3.0	SysNS
16	477.91456800000003	Schema	3.0	SysNS
17	629.16614	Schema	3.0	SysNS
20	259.781793	Schema	3.0	SysNS
24	145.074941	Schema	3.0	SysNS
25	486.413168	Schema	3.0	SysNS
27	0.0	Schema	3.0	SysNS
2	1.03	Baseline	0.1	SysMB
3	0.03	Baseline	0.1	SysMB
6	10.93	Baseline	0.1	SysMB
7	10.91	Baseline	0.1	SysMB
8	10.9	Baseline	0.1	SysMB
9	0.03	Baseline	0.1	SysMB
10	2.19	Baseline	0.1	SysMB
12	2.11	Baseline	0.1	SysMB
13	2.18	Baseline	0.1	SysMB
14	2.18	Baseline	0.1	SysMB
2	5.65	Baseline	0.3	SysMB
3	0.02	Baseline	0.3	SysMB
6	0.0	Baseline	0.3	SysMB
7	41.51	Baseline	0.3	SysMB
8	55.01	Baseline	0.3	SysMB
9	0.02	Baseline	0.3	SysMB
10	8.46	Baseline	0.3	SysMB
12	8.85	Baseline	0.3	SysMB
13	8.31	Baseline	0.3	SysMB
14	8.24	Baseline	0.3	SysMB
2	41.86	Baseline	1.0	SysMB
3	0.02	Baseline	1.0	SysMB
6	0.0	Baseline	1.0	SysMB
7	157.24	Baseline	1.0	SysMB
8	454.06	Baseline	1.0	SysMB
9	0.02	Baseline	1.0	SysMB
10	44.48	Baseline	1.0	SysMB
12	111.6	Baseline	1.0	SysMB
13	44.63	Baseline	1.0	SysMB
14	1800.0	Baseline	1.0	SysMB
2	0.0	Baseline	3.0	SysMB
3	0.0	Baseline	3.0	SysMB
6	0.0	Baseline	3.0	SysMB
